shortPostcode,Year,Population
B67,2020,32278.623643147745
B67,2021,32453.73517641182
B67,2022,32613.40755347977
B67,2023,32760.494021545965
B67,2024,32898.74330631689
B67,2025,33030.33827954216
B68,2011,30588
B68,2012,30800.69461611474
B68,2013,31006.979353186987
B68,2014,31235.334587012876
B68,2015,31482.833228609165
B68,2016,31721.43359126331
B68,2017,31936.94091384518
B68,2018,32130.45614277968
B68,2019,32310.79005983729
B68,2020,32492.136110725085
B68,2021,32668.40594912577
B68,2022,32829.134506395465
B68,2023,32977.19390301931
B68,2024,33116.35766129005
B68,2025,33248.82309193521
B69,2011,28958
B69,2012,29159.360360057883
B69,2013,29354.6524162936
B69,2014,29570.838857418552
B69,2015,29805.14857571806
B69,2016,30031.034194318123
B69,2017,30235.057374889777
B69,2018,30418.260395665417
B69,2019,30588.984521798357
B69,2020,30760.666846291908
B69,2021,30927.54346393304
B69,2022,31079.706977775593
B69,2023,31219.87645624536
B69,2024,31351.624334890712
B69,2025,31477.030832230274
B7,2011,8546
B7,2012,8605.424878688262
B7,2013,8663.058897356348
B7,2014,8726.85920559082
B7,2015,8796.008002213086
B7,2016,8862.670703247555
B7,2017,8922.88142571338
B7,2018,8976.94776370456
B7,2019,9027.33136692067
B7,2020,9077.9977508257
B7,2021,9127.24588862393
B7,2022,9172.151938395958
B7,2023,9213.518343638125
B7,2024,9252.399391048277
B7,2025,9289.40898861247
B70,2011,27992
B70,2012,28186.64324879965
B70,2013,28375.420624245133
B70,2014,28584.395375953456
B70,2015,28810.888836642724
B70,2016,29029.239214288038
B70,2017,29226.456455484313
B70,2018,29403.54806946151
B70,2019,29568.577067966697
B70,2020,29734.532300621697
B70,2021,29895.84213835257
B70,2022,30042.929681673268
B70,2023,30178.423294537613
B70,2024,30305.776240840558
B70,2025,30426.99934580392
B71,2011,30990
B71,2012,31205.48993570667
B71,2013,31414.4857511202
B71,2014,31645.84212277785
B71,2015,31896.59349269641
B71,2016,32138.329638853465
B71,2017,32356.66924676546
B71,2018,32552.727731945273
B71,2019,32735.431671059156
B71,2020,32919.161045879766
B71,2021,33097.74749455367
B71,2022,33260.58841222687
B71,2023,33410.593665966015
B71,2024,33551.586371236386
B71,2025,33685.792716721335
B72,2011,9569
B72,2012,9635.538341231919
B72,2013,9700.071447320723
B72,2014,9771.508979440505
B72,2015,9848.935241420199
B72,2016,9923.577809428487
B72,2017,9990.996063965753
B72,2018,10051.534419715532
B72,2019,10107.949198462893
B72,2020,10164.68060819695
B72,2021,10219.82400049642
B72,2022,10270.105534578863
B72,2023,10316.423710539813
B72,2024,10359.95901859829
B72,2025,10401.398854672683
B73,2011,22801
B73,2012,22959.547467700802
